municipality,year,daily_count
Houthalen-Helchteren,2025,439.08493150684933
Houthalen-Helchteren,2026,344.7867647058824
Ieper,2022,587.9425837320574
Ieper,2023,598.4465753424657
Ieper,2024,602.1448087431694
Ieper,2025,636.2164383561644
Ieper,2026,560.0294117647059
Kampenhout,2022,626.3861386138614
Kampenhout,2023,691.6767123287672
Kampenhout,2024,669.4098360655738
Kampenhout,2025,770.7917808219178
Kampenhout,2026,657.3925925925926
Kortrijk,2019,1344.9109589041095
Kortrijk,2020,1201.1612021857923
Kortrijk,2021,1117.86301369863
Kortrijk,2022,1692.441095890411
Kortrijk,2023,2092.3616438356166
Kortrijk,2024,2214.103825136612
Kortrijk,2025,2422.9506849315067
Kortrijk,2026,2461.9338235294117
Lanaken,2022,654.6140350877193
Lanaken,2023,569.827397260274
Lanaken,2024,635.1338797814208
Lanaken,2025,676.6164383561644
Lanaken,2026,569.1925925925926
Leuven,2022,5531.3861386138615
Leuven,2023,7349.8794520547945
Leuven,2024,7492.53825136612
Leuven,2025,8374.019178082192
Leuven,2026,8625.676470588236
Lier,2022,597.9285714285714
Lier,2023,641.3561643835617
Lier,2024,553.8524590163935
Lier,2025,169.3846153846154
Lokeren,2022,345.7613636363636
Lokeren,2023,581.2438356164383
Lokeren,2024,603.4590163934427
Lokeren,2025,631.4164383561643
Lokeren,2026,606.0666666666667
Lommel,2022,542.325
Lommel,2023,483.85753424657537
Lommel,2024,535.9918032786885
Lommel,2025,593.4520547945206
Lommel,2026,538.0294117647059
Lummen,2022,155.60350877192982
Lummen,2023,136.4054794520548
Lummen,2024,160.63661202185793
Lummen,2025,183.18082191780823
Lummen,2026,162.375
Maaseik,2022,1004.619926199262
Maaseik,2023,861.3260273972603
Maaseik,2024,835.4535519125683
Maaseik,2025,866.2438356164383
Maaseik,2026,685.9632352941177
Maasmechelen,2022,305.1043165467626
Maasmechelen,2023,274.5260273972603
Maasmechelen,2024,304.85792349726773
Maasmechelen,2025,337.7150684931507
Maasmechelen,2026,270.8814814814815
Machelen,2019,327.2054794520548
