municipality,weather_variable,correlation
Maaseik,precipitation,-0.3157295101613597
Maaseik,wind_speed,-0.4046335558110525
Maaseik,sunshine_duration,0.6472671661537702
Maaseik,precipitation_hours,-0.46780848691736704
Maasmechelen,temperature,0.5618173740188517
Maasmechelen,precipitation,-0.285199646227181
Maasmechelen,wind_speed,-0.3494855707764962
Maasmechelen,sunshine_duration,0.554116452038774
Maasmechelen,precipitation_hours,-0.4149170487846518
Machelen,temperature,0.39064573188730745
Machelen,precipitation,-0.31736817530791434
Machelen,wind_speed,-0.38253991933406045
Machelen,sunshine_duration,0.4621878236130865
Machelen,precipitation_hours,-0.42027111163942776
Malle,temperature,0.35823805484995846
Malle,precipitation,-0.34379924902797526
Malle,wind_speed,-0.299898276840029
Malle,sunshine_duration,0.4372858666629045
Malle,precipitation_hours,-0.4322595401111106
Mechelen,temperature,0.25884434364910675
Mechelen,precipitation,-0.221836107922539
Mechelen,wind_speed,-0.2431151038657861
Mechelen,sunshine_duration,0.31512239034518214
Mechelen,precipitation_hours,-0.28384813487504673
Melle,temperature,0.5030191554750053
Melle,precipitation,-0.42796880099591517
Melle,wind_speed,-0.3285655992132552
Melle,sunshine_duration,0.601499056020351
Melle,precipitation_hours,-0.5207744369709255
Meulebeke,temperature,0.46024988303536796
Meulebeke,precipitation,-0.35242584588478976
Meulebeke,wind_speed,-0.3398463095853721
Meulebeke,sunshine_duration,0.5061221878333795
Meulebeke,precipitation_hours,-0.42281583875856127
Nevele,temperature,0.6427972567391858
Nevele,precipitation,-0.4319205162864131
Nevele,wind_speed,-0.4359541561052628
Nevele,sunshine_duration,0.7071819497233331
Nevele,precipitation_hours,-0.5381058362451462
Nieuwpoort,temperature,0.7125574406835101
Nieuwpoort,precipitation,-0.26658133825683944
Nieuwpoort,wind_speed,-0.3567318051597326
Nieuwpoort,sunshine_duration,0.6313212419527997
Nieuwpoort,precipitation_hours,-0.37287439225341873
Nijlen,temperature,0.457954525201939
Nijlen,precipitation,-0.32548579452689147
Nijlen,wind_speed,-0.3162218434966353
Nijlen,sunshine_duration,0.49695166327834833
Nijlen,precipitation_hours,-0.4347758862813327
Oostende,temperature,0.5617992229585316
Oostende,precipitation,-0.3695360945446912
Oostende,wind_speed,-0.44934004836633534
Oostende,sunshine_duration,0.581451734903439
Oostende,precipitation_hours,-0.4662245258472757
Opwijk,temperature,0.3646900879269276
Opwijk,precipitation,-0.3528992790789386
Opwijk,wind_speed,-0.2852987667385819
Opwijk,sunshine_duration,0.6310393898873755
Opwijk,precipitation_hours,-0.4047397872212035
Overijse,temperature,0.5583460488432042
Overijse,precipitation,-0.1843327786842545
Overijse,wind_speed,-0.04293308317299102
Overijse,sunshine_duration,0.3507478573726742
Overijse,precipitation_hours,-0.18429184595016157
Peer,temperature,0.617447267052255
Peer,precipitation,-0.3636389721323886
Peer,wind_speed,-0.4020255809889302
Peer,sunshine_duration,0.6690381834810387
Peer,precipitation_hours,-0.495960959687119
Pelt,temperature,0.49861002208888644
Pelt,precipitation,-0.3481428875720297
Pelt,wind_speed,-0.3898630089728873
Pelt,sunshine_duration,0.5589390537888839
Pelt,precipitation_hours,-0.46930448249213874
Pepingen,temperature,0.3387006688404531
Pepingen,precipitation,-0.24624177734419955
Pepingen,wind_speed,-0.1672771249014269
Pepingen,sunshine_duration,0.3541098365633322
Pepingen,precipitation_hours,-0.3206300602587064
Retie,temperature,0.4568996150966213
Retie,precipitation,-0.3514878156942687
Retie,wind_speed,-0.2939771742634021
Retie,sunshine_duration,0.5049242547542171
Retie,precipitation_hours,-0.4453485745611487
Roeselare,temperature,0.4598178655606606
Roeselare,precipitation,-0.3615300067066631
Roeselare,wind_speed,-0.3169115100153062
Roeselare,sunshine_duration,0.5206564915058013
Roeselare,precipitation_hours,-0.4459074310449476
St. Pieters Leeuw,temperature,0.36506723440337274
St. Pieters Leeuw,precipitation,-0.22510756580978092
St. Pieters Leeuw,wind_speed,-0.21824942169340764
St. Pieters Leeuw,sunshine_duration,0.4085490980139843
St. Pieters Leeuw,precipitation_hours,-0.29688473218918804
Tervuren,temperature,0.2922923624838508
Tervuren,precipitation,-0.2473969986420518
Tervuren,wind_speed,-0.2969525650241758
Tervuren,sunshine_duration,0.4359104106275185
Tervuren,precipitation_hours,-0.32670367193900207
Tienen,temperature,0.48750210038119995
Tienen,precipitation,-0.2690869819116003
Tienen,wind_speed,-0.36287592532658386
