municipality,weekday,daily_count
Tienen,Saturday,1114.5542857142857
Tienen,Sunday,815.9799426934097
Tienen,Thursday,1531.1771428571428
Tienen,Tuesday,1627.7485714285715
Tienen,Wednesday,1623.2428571428572
Tongeren,Friday,131.5299539170507
Tongeren,Monday,139.40092165898616
Tongeren,Saturday,66.375
Tongeren,Sunday,77.22685185185185
Tongeren,Thursday,145.38709677419354
Tongeren,Tuesday,149.83870967741936
Tongeren,Wednesday,147.99078341013825
Torhout,Friday,387.37619047619046
Torhout,Monday,392.1952380952381
Torhout,Saturday,266.3
Torhout,Sunday,210.8421052631579
Torhout,Thursday,397.9904761904762
Torhout,Tuesday,413.3285714285714
Torhout,Wednesday,432.56666666666666
Vilvoorde,Friday,565.9905660377359
Vilvoorde,Monday,697.4502369668246
Vilvoorde,Saturday,400.4481132075472
Vilvoorde,Sunday,514.8056872037914
Vilvoorde,Thursday,742.8820754716982
Vilvoorde,Tuesday,801.7452830188679
Vilvoorde,Wednesday,700.7452830188679
Wemmel,Friday,170.12745098039215
Wemmel,Monday,208.56372549019608
Wemmel,Saturday,90.29901960784314
Wemmel,Sunday,102.91666666666667
Wemmel,Thursday,202.25980392156862
Wemmel,Tuesday,219.11764705882354
Wemmel,Wednesday,202.15686274509804
Wervik,Friday,1090.7857142857142
Wervik,Monday,1081.3732057416269
Wervik,Saturday,709.5761904761905
Wervik,Sunday,551.3492822966507
Wervik,Thursday,1100.0191387559807
Wervik,Tuesday,1171.751196172249
Wervik,Wednesday,1176.3062200956938
Westerlo,Friday,1070.7598039215686
Westerlo,Monday,1045.6748768472905
Westerlo,Saturday,892.9460784313726
Westerlo,Sunday,971.6009852216749
Westerlo,Thursday,1169.0049019607843
Westerlo,Tuesday,1206.8522167487686
Westerlo,Wednesday,1284.8177339901479
Zaventem,Friday,819.2450592885375
Zaventem,Monday,1015.8690476190476
Zaventem,Saturday,595.2766798418972
Zaventem,Sunday,794.4246031746031
Zaventem,Thursday,1066.1462450592885
Zaventem,Tuesday,1161.126984126984
Zaventem,Wednesday,1033.9249011857708
Zele,Friday,498.7395833333333
Zele,Monday,471.2135416666667
Zele,Saturday,378.8645833333333
Zele,Sunday,364.90575916230364
Zele,Thursday,500.203125
Zele,Tuesday,522.1875
Zele,Wednesday,521.2760416666666
Zemst,Friday,1674.4545454545455
Zemst,Monday,1752.0558375634519
Zemst,Saturday,1229.0862944162436
Zemst,Sunday,1162.6649746192893
Zemst,Thursday,1769.8484848484848
Zemst,Tuesday,1843.4040404040404
Zemst,Wednesday,1746.9949494949494
